firstname,phone,notes
Alice,1234567890,Follow up next week
Bob,9876543210,Send contract details
Charlie,5551234567,Meeting scheduled
David,4449876543,Request for quotation
Emma,3335557777,Call back after lunch
Frank,2226668888,Interested in the offer
Grace,1119990000,Needs more information
Henry,6663332222,Reschedule appointment
Isabella,7774441111,Send email summary
Jack,8882226666,Waiting for response
Katie,9991113333,Needs urgent support
Liam,3216549870,Requested demo
Mia,6549873210,Will visit office
Noah,1593578526,Call before 5 PM
Olivia,7539514562,Pending approval
Peter,8529637415,Send discount details
Quinn,9638527410,Needs callback tomorrow
Ryan,7418529630,Interested in premium
Sophia,3692581470,Follow-up on proposal
Thomas,2581473690,Needs product details
Ursula,1472583690,Requested brochure
Victor,9517538524,Checking competitor
Wendy,3579512584,Waiting for confirmation
Xavier,2583691470,Requested callback
Yasmine,1237894560,Asked for discount
