firstname,phone,notes
John Doe,+1234567890,Follow up on contract
Jane Smith,+1987654321,Send invoice for last month
Michael Johnson,+1122334455,Schedule meeting with the client
Emily Davis,+1654321987,Prepare a project report
David Wilson,+1765432198,Call back regarding support issue
Sophia Brown,+1432567890,Confirm appointment details
James Anderson,+1543678902,Update payment status
Olivia Martinez,+1876543219,Send proposal document
William Thomas,+1324657980,Discuss budget changes
Isabella Garcia,+1987321456,Follow up on pending work
